Fat,Fiber,Carbohydrates,Energy,Proteins,Salts,Sugars,Positive Points,Negative Points,Blood Pressure Suitability,Diabetes Suitability,Cholestrol Suitability,Skinny,Fit,Obese
16.0,0.0,70.0,1.0,9.5,2.662,2.0,0.0,22.0,0,1,0,1,0,0
0.4,0.6,30.9,556.0,1.1,1.722,29.2,0.0,14.0,0,0,1,0,0,0
12.5,7.7,74.3,1.0,9.4,0.862,21.0,5.0,18.0,0,0,1,0,0,0
0.0,0.0,7.0,117.0,0.0,0.102,6.8,0.0,9.0,0,0,1,1,1,0
14.0,6.0,71.0,1.0,9.0,0.605,16.0,5.0,13.0,0,0,0,0,0,0
16.3,0.0,75.7,1.0,5.2,0.432,42.8,0.0,23.0,0,0,0,0,0,0
51.0,0.0,19.3,2.0,26.3,0.0,7.5,0.0,19.0,0,0,0,0,0,0
0.0,0.0,12.0,200.0,0.0,0.193,11.1,0.0,15.0,0,0,1,0,0,0
16.3,0.0,75.7,1.0,5.2,0.432,42.8,0.0,23.0,0,0,0,0,0,0
32.2,6.2,53.5,2.0,7.4,0.982,3.0,5.0,20.0,1,1,0,0,0,0
0.0,0.0,9.7,163.0,0.0,0.055,9.5,0.0,13.0,0,0,1,0,0,0
6.5,6.0,78.7,1.0,8.3,0.25,21.5,10.0,9.0,0,0,1,0,0,0
27.0,1.0,56.0,795.0,10.0,1.582,0.0,1.0,19.0,0,1,0,0,0,0
51.8,0.0,8.6,2.0,0.5,1.805,7.3,0.0,24.0,0,0,0,0,0,0
23.0,0.0,4.2,1.0,17.0,0.061,4.2,5.0,13.0,1,1,0,0,0,0
22.3,0.0,66.0,2.0,5.5,0.488,26.0,0.0,22.0,0,0,0,0,0,0
46.667,3.333,43.333,2.0,6.667,1.417,0.0,3.0,23.0,0,1,0,0,0,0
5.3,0.0,46.7,1.0,21.9,0.052,1.1,5.0,4.0,1,1,1,1,1,0
28.6,3.8,49.0,2.0,13.6,0.2,34.6,6.0,17.0,0,0,0,0,0,0
7.0,0.0,42.9,1.0,8.0,0.075,33.5,0.0,14.0,0,0,1,0,0,0
21.5,4.9,62.3,1.0,7.7,2.25,3.2,5.0,24.0,0,1,0,0,0,0
21.0,4.1,69.0,2.0,5.6,2.225,6.9,4.0,25.0,0,0,0,0,0,0
8.6,13.0,94.0,2.0,19.2,0.848,2.8,10.0,10.0,1,1,1,0,0,0
100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,1,1,0,0,0,0
16.0,12.2,61.0,1.0,18.0,0.6,1.4,5.0,13.0,1,1,0,1,0,0
48.5,6.8,20.0,2.0,27.6,1.1,8.4,6.0,19.0,0,0,0,0,0,0
0.0,0.0,13.1,218.0,0.0,0.024,12.7,0.0,17.0,0,0,1,0,0,0
3.1,0.0,4.8,251.0,3.3,0.125,4.8,2.0,2.0,1,1,1,1,1,1
2.4,9.1,80.2,1.0,3.0,0.117,47.8,11.0,15.0,0,0,1,0,0,0
30.0,8.0,55.0,2.0,11.0,2.2,15.0,5.0,28.0,0,0,0,0,0,0
9.3,0.0,12.0,594.0,2.0,11.825,5.3,2.0,13.0,0,1,1,1,1,0
0.0,0.0,14.8,247.0,0.0,0.0,11.2,0.0,2.0,0,0,1,0,0,0
0.0,0.0,11.2,188.0,0.0,0.15,11.2,0.0,15.0,0,0,1,0,0,0
0.0,0.0,12.95,217.0,0.0,0.0,12.9,0.0,17.0,0,0,1,0,0,0
1.6,0.0,26.3,590.0,5.5,0.23,0.0,3.0,2.0,1,1,1,1,1,1
2.0,0.0,79.0,1.0,11.0,1.0,46.0,0.0,25.0,0,0,1,0,0,0
22.0,0.0,5.1,1.0,16.1,0.312,5.1,5.0,15.0,0,1,0,0,0,0
36.0,0.0,53.0,2.0,6.0,0.67,0.3,0.0,18.0,1,1,0,0,0,0
30.0,0.0,54.03,2.0,8.03,2.025,7.2,0.0,25.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,1,1,1,1,1,1
1.0,15.5,30.2,1.0,53.0,1.103,2.9,10.0,7.0,0,1,1,1,1,0
3.0,0.0,5.0,247.0,3.0,0.118,5.0,1.0,2.0,1,1,1,1,1,1
50.0,5.0,19.0,2.0,26.0,350.0,17.0,7.0,29.0,0,0,0,0,0,0
24.0,0.0,61.6,2.0,7.1,5.6,2.7,0.0,26.0,0,1,0,0,0,0
0.0,0.0,80.0,1.0,0.0,0.045,80.0,0.0,13.0,0,0,1,0,0,0
1.8,0.0,14.7,351.0,2.2,0.17,13.9,0.0,21.0,0,0,1,0,0,0
21.1,0.0,71.7,2.0,5.2,1.01,38.4,0.0,28.0,0,0,0,0,0,0
0.0,0.0,13.2,222.0,0.1,0.0,13.2,0.0,17.0,0,0,1,0,0,0
0.0,0.0,11.0,194.0,0.0,0.1,11.0,0.0,15.0,0,0,1,0,0,0
0.1,0.0,23.2,435.0,1.2,1.8,22.8,1.0,13.0,0,0,1,0,0,0
0.0,58.0,0.0,1.6,0.0,0.0,0.0,5.0,1.0,1,1,1,1,1,1
3.2,4.8,13.9,348.0,2.9,0.78,0.2,6.0,4.0,1,1,1,1,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
0.0,0.0,9.0,151.0,0.0,0.0,9.0,0.0,12.0,0,0,1,0,0,0
35.5,0.0,51.7,2.0,7.0,0.51,2.6,0.0,18.0,1,1,0,0,0,0
33.1,0.0,53.0,2.0,6.7,1.608,3.4,0.0,23.0,0,1,0,0,0,0
13.0,0.0,77.3,1.0,6.9,0.74,25.5,0.0,18.0,0,0,1,0,0,0
0.1,0.7,70.5,1.0,0.3,0.128,68.1,0.0,13.0,0,0,1,0,0,0
100.0,0.0,30.0,36.0,100.0,11.0,20.0,0.0,9.0,0,0,0,0,0,0
0.0,0.0,10.0,167.0,0.0,0.035,9.8,0.0,13.0,0,0,1,0,0,0
29.0,0.0,0.0,1.0,23.0,1.5,0.0,5.0,20.0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,1,1,1,1,1,1
23.3,0.0,60.0,2.0,7.63,0.572,55.0,0.0,28.0,0,0,0,0,0,0
22.8,0.0,63.7,2.0,7.7,1.358,32.3,0.0,29.0,0,0,0,0,0,0
20.3,0.0,72.7,2.0,5.0,0.298,37.0,0.0,25.0,0,0,0,0,0,0
25.6,2.5,51.2,2.0,6.4,0.243,33.2,2.0,25.0,0,0,0,0,0,0
20.9,7.3,68.0,2.0,9.1,0.0,13.1,5.0,18.0,0,0,0,0,0,0
2.0,0.0,79.0,1.0,11.0,1.0,46.0,0.0,25.0,0,0,1,0,0,0
20.3,0.0,72.7,2.0,5.0,0.119,38.3,0.0,24.0,0,0,0,0,0,0
0.0,0.0,10.9,184.0,0.0,0.021,10.6,0.0,15.0,0,0,1,0,0,0
21.154,0.0,30.769,1.0,3.846,1.361,1.923,0.0,16.0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
9.5,10.0,68.5,1.0,11.8,0.024,1.8,10.0,6.0,1,1,1,1,0,0
17.1,0.0,12.1,874.0,1.7,12.825,2.6,0.0,15.0,0,1,0,1,0,0
0.0,0.0,10.0,167.0,0.0,0.035,9.8,0.0,13.0,0,0,1,0,0,0
33.1,0.0,53.0,2.0,6.7,1.608,3.4,0.0,23.0,0,1,0,0,0,0
23.2,0.0,68.4,2.0,6.4,1.145,21.8,0.0,25.0,0,0,0,0,0,0
0.0,0.0,9.7,163.0,0.0,0.055,9.5,0.0,13.0,0,0,1,0,0,0
0.0,0.0,10.6,176.0,0.0,0.002,10.4,0.0,13.0,0,0,1,0,0,0
3.0,0.0,4.7,243.0,3.0,0.1,4.7,1.0,2.0,1,1,1,1,1,1
27.9,0.0,64.2,2.0,5.6,0.231,61.0,0.0,27.0,0,0,0,0,0,0
33.1,0.0,53.0,2.0,6.7,1.608,3.4,0.0,23.0,0,1,0,0,0,0
26.786,1.786,57.143,0.0,3.571,0.424,28.571,1.0,17.0,0,0,0,0,0,0
28.9,0.0,60.4,2.0,8.1,0.396,57.3,0.0,27.0,0,0,0,0,0,0
0.0,0.0,12.2,205.0,0.0,0.025,11.7,0.0,15.0,0,0,1,0,0,0
40.0,0.0,40.0,2.0,8.2,0.012,37.0,0.0,25.0,0,0,0,0,0,0
34.6,0.0,55.2,2.0,6.4,2.23,1.4,0.0,25.0,0,1,0,0,0,0
0.0,0.0,13.0,218.0,0.0,0.0,13.0,0.0,17.0,0,0,1,0,0,0
0.0,0.0,12.3,205.0,0.0,0.02,12.3,0.0,16.0,0,0,1,0,0,0
0.0,0.9,5.3,402.0,12.0,10.3,1.7,0.0,11.0,0,1,1,1,1,1
20.93,7.52,50.66,1.0,21.31,0.975,0.0,5.0,14.0,1,1,0,0,0,0
0.0,0.0,13.5,226.0,0.0,1.0,13.0,0.0,21.0,0,0,1,0,0,0
13.0,0.0,69.0,1.0,5.8,0.4,29.0,0.0,18.0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,1,1,1,1,1,1
21.3,0.0,49.8,1.0,6.1,0.236,33.0,0.0,23.0,0,0,0,0,0,0
32.0,4.4,52.0,2.0,6.4,1.3,2.8,4.0,13.0,0,1,0,0,0,0
0.0,0.0,12.3,205.0,0.0,0.02,12.3,0.0,16.0,0,0,1,0,0,0
0.56,0.0,66.6,1.0,1.27,0.182,63.7,0.0,13.0,0,0,1,0,0,0
17.5,0.0,75.1,1.0,3.6,0.185,70.0,0.0,25.0,0,0,0,0,0,0
22.0,0.0,67.0,2.0,7.0,255.0,22.0,0.0,30.0,0,0,0,0,0,0
19.6,0.0,71.9,2.0,5.2,1.05,38.8,0.0,27.0,0,0,0,0,0,0
0.0,0.0,27.0,452.0,0.0,1.62,18.4,0.0,12.0,0,0,1,0,0,0
10.7,0.0,78.9,1.0,8.4,0.8,21.9,0.0,17.0,0,0,1,0,0,0
0.0,0.0,16.2,272.0,0.0,0.05,15.5,0.0,20.0,0,0,1,0,0,0
33.1,0.0,53.0,2.0,6.7,1.608,3.4,0.0,23.0,0,1,0,0,0,0
0.0,0.0,11.0,184.0,0.0,0.0,11.0,0.0,15.0,0,0,1,0,0,0
43.5,4.85,37.14,2.0,12.93,1.928,0.0,5.0,25.0,0,1,0,0,0,0
100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,1,1,0,0,0,0
0.0,0.0,12.0,209.0,0.0,0.292,12.0,0.0,16.0,0,0,1,0,0,0
19.5,0.0,70.0,2.0,7.4,0.778,24.4,0.0,23.0,0,0,0,0,0,0
78.571,0.0,0.0,3.0,0.0,2.054,0.0,0.0,27.0,0,1,0,0,0,0
17.0,1.0,6.0,874.0,8.0,0.162,2.0,10.0,3.0,1,1,0,1,0,0
0.0,0.0,13.8,230.0,0.0,0.015,13.8,0.0,18.0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1,1,1,1,1,1
33.1,0.0,53.4,2.0,6.9,2.065,2.5,0.0,25.0,0,1,0,0,0,0
22.2,3.7,70.4,2.0,3.7,0.278,40.7,3.0,25.0,0,0,0,0,0,0
19.14,14.18,60.27,1.0,16.37,0.418,4.35,10.0,10.0,1,1,0,1,0,0
14.3,0.0,55.0,500.0,5.0,0.0,33.3,0.0,18.0,0,0,0,0,0,0
33.0,0.0,54.7,2.0,7.0,1.717,6.0,0.0,24.0,0,1,0,0,0,0
14.0,5.0,72.0,1.0,7.0,0.75,30.5,5.0,18.0,0,0,0,0,0,0
25.0,0.0,63.9,2.0,5.7,0.1,37.6,0.0,24.0,0,0,0,0,0,0
3.1,0.0,7.8,306.0,3.52,0.108,0.0,2.0,2.0,1,1,1,1,1,1
0.0,0.0,16.2,272.0,0.0,0.0,15.7,0.0,20.0,0,0,1,0,0,0
18.0,0.0,73.4,2.0,5.9,0.0,32.2,0.0,21.0,0,0,0,0,0,0
15.0,2.0,8.0,753.0,7.0,0.3,4.0,6.0,9.0,1,1,0,1,0,0
0.667,0.667,30.7,560.0,1.33,2.4,29.3,0.0,17.0,0,0,1,0,0,0
0.5,0.0,4.0,226.0,7.5,0.127,0.0,4.0,8.0,1,1,1,1,1,1
1.0,2.5,86.9,1.0,6.7,1.225,9.2,2.0,11.0,0,0,1,0,0,0
0.0,0.0,13.4,222.0,0.2,0.0,13.1,10.0,17.0,0,0,1,0,0,0
0.1,0.1,4.6,84.0,0.2,9.6,4.4,0.0,10.0,0,1,1,1,1,1
28.3,0.0,61.2,2.0,4.7,2.092,1.5,0.0,25.0,0,1,0,0,0,0
27.9,0.0,62.8,2.0,5.0,1.17,0.4,0.0,21.0,0,1,0,0,0,0
0.0,0.0,16.2,272.0,0.0,0.052,15.5,0.0,20.0,0,0,1,0,0,0
13.5,2.0,59.6,1.0,8.2,1.028,1.8,2.0,16.0,0,1,1,1,0,0
0.0,0.0,11.0,184.0,0.0,0.055,10.7,0.0,15.0,0,0,1,0,0,0
1.5,0.0,5.0,192.0,3.2,0.105,5.0,1.0,1.0,1,1,1,1,1,1
0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,1,1,1,1,1,1
28.9,0.0,60.4,2.0,8.1,0.156,57.3,0.0,26.0,0,0,0,0,0,0
34.6,0.0,55.2,2.0,6.4,2.23,1.0,0.0,25.0,0,1,0,0,0,0
24.5,1.2,67.2,2.0,5.1,0.278,61.7,1.0,27.0,0,0,0,0,0,0
